"key","userSays"
"NEW_THINKOTHERSUSPECTKILLED","[""you think your grandmother killed Betsy"",""do you think Pete kill Betsy"",""you think your grandmother killed Betsy"",""do you think Pete kill Betsy"",""do you think Pete kill Betsy"",""did your grandmother kill Betsy"",""did your boyfriend kill Betsy"",""did your boyfriend kill Betsy"",""do you suspect Brandy's boyfriend"",""did your grandmother kill Betsy"",""did your boyfriend kill Betsy"",""did your boyfriend kill Betsy"",""do you suspect Brandy's boyfriend""]"
"NEW_TUCKER_STILLWORKATBBQ","[""do you still work for Betsy""]"
"NEW_WHATBETSYDOINGNIGHTOFMURDER","[""what was Betsy doing the night at the murder""]"
"NEW_TALKABOUTMURDER","[""I want to talk to you about Betsy's murder"",""I want to talk to you about Betsy"",""I want to talk to you about Betsy"",""I want to talk to you about Betsy's murder"",""I want to talk to you about Betsy""]"
"NEW_BRANDI_BETSYKNOWBF","[""what is a beer boyfriends connection to "",""does Betsy know your boyfriend"",""does Betsy know your boyfriend""]"
"NEW_PETE_DIDDAUGHTERWORKFORBETSY","[""did your daughter work for Betsy""]"
"NEW_BRANDI_WHEREBFLASTNIGHT","[""where was your boyfriend last night?""]"
"NEW_PETE_WHATHAPPENLASTWEEK","[""what happened last week"",""what happened last week""]"
"NEW_DADISHERE","[""yes he is here""]"
"NEW_TELLABOUTMURDER","[""I'd like like to talk to you about the murder"",""Constance tell me about the murder"",""do you know anything about the murder"",""do you know anything about the murder"",""do you know anything about the murder"",""Constance tell me about the murder""]"
"NEW_HOWOLDBRANDI","[""how old is she"",""how old is she"",""how young"",""how old is Brandy"",""how old is Brandy""]"
"NEW_HOWFEELABOUTBETSY","[""what is your opinion about Betsy"",""what is your opinion about Betsy"",""Constance how did you feel about Betsy"",""Constance how did you feel about Betsy""]"
"NEW_DOYOUTRUSTTUCKER","[""do you trust Tucker"",""do you trust Tucker"",""do you trust Tucker""]"
"NEW_RELATIONSHIPBRANDI","[""I want to know what your relationship with Brandy is"",""I want to know what your relationship with Brandy is""]"
"NEW_KNOWBETSY","[""did you know Betsy"",""do you know Betsy"",""did you know Brant know did you know Betsy"",""Pete did you know Betsy"",""I want to ask you about Betsy do you know her"",""did you know Betsy"",""do you know Betsy"",""did you know Betsy"",""do you know Betsy"",""did you know Betsy"",""Tucker do you know Betsy"",""do you know besty?"",""do you know the victim?"",""Tucker do you know Betsy""]"
